K_Nu,K_E,K_Rho,K_incl_top_position_y,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
1,1,1,0.1,8.2,0.1219512195121951,5.312730936392228e-13,5.335793092227803e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,8.3,0.1204819277108433,5.312805886683376e-13,5.33567647877456e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,8.4,0.119047619047619,5.313020692804874e-13,5.335665900327085e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,8.5,0.1176470588235294,5.313364150823524e-13,5.335753772531427e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,8.6,0.1162790697674418,5.313825408267899e-13,5.335932612582597e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,8.7,0.1149425287356321,5.314394015202027e-13,5.336195099979307e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,8.8,0.1136363636363636,5.315059961398594e-13,5.336534124452391e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,8.9,0.1123595505617977,5.315813702828414e-13,5.336942823336655e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,9.0,0.1111111111111111,5.3166461777879e-13,5.337414609247559e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,9.1,0.1098901098901099,5.317548815911678e-13,5.337943190315517e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,9.2,0.108695652173913,5.318513539840317e-13,5.338522583305672e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,9.3,0.1075268817204301,5.319532762106575e-13,5.339147121612399e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,9.4,0.1063829787234042,5.320599377328546e-13,5.339811458292108e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,9.5,0.1052631578947368,5.3217067513503e-13,5.340510565612985e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,9.6,0.1041666666666666,5.322848706856032e-13,5.341239731076872e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,9.7,0.1030927835051546,5.324019507980318e-13,5.341994551453208e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,9.8,0.1020408163265305,5.325213842777799e-13,5.342770924518036e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,9.9,0.101010101010101,5.326426804723653e-13,5.343565039425587e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,10.0,0.1,5.327904637344362e-13,5.344202575513237e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
