K_Nu,K_E,K_Rho,K_incl_top_position_y,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
1.2000000000000002,1,1,1,3.5000000000000004,0.2857142857142857,5.363626897393882e-13,5.360135374727697e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,3.6,0.2777777777777778,5.366857419684703e-13,5.358800274889194e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,3.7,0.2702702702702703,5.370540326555072e-13,5.358598921830364e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,3.8,0.2631578947368421,5.375223154519193e-13,5.360122121451076e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,3.9,0.2564102564102564,5.381110610840115e-13,5.363601809921877e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,4.0,0.25,5.388125896303584e-13,5.368970574706655e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,4.1,0.2439024390243902,5.395992858164979e-13,5.375944396625843e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,4.2,0.238095238095238,5.404319912030631e-13,5.384106964004093e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,4.3,0.2325581395348837,5.412671813935283e-13,5.392982891853416e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,4.4,0.2272727272727273,5.420624682369865e-13,5.402094961027699e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,4.5,0.2222222222222222,5.427803805068093e-13,5.411004690785642e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,4.6,0.2173913043478261,5.433907281896043e-13,5.419338628959353e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,4.7,0.2127659574468085,5.438711326335025e-13,5.426798386993896e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,4.8,0.2083333333333333,5.442077553722665e-13,5.433168326907636e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,4.9,0.2040816326530611,5.443942666984518e-13,5.438309498571895e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,5.0,0.2,5.445304264826998e-13,5.443103297502658e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,5.1,0.196078431372549,5.444124542616819e-13,5.445534095813362e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,5.2,0.1923076923076923,5.441613042747969e-13,5.446704263064672e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
1.2000000000000002,1,1,1,5.3,0.1886792452830188,5.437897052368419e-13,5.446686939304663e-13,0.25,50000000000.0,2700,4992.872412627318,2668.802563418119,2502.294445801098
