K_Nu,K_E,K_Rho,K_incl,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
1,1,0.5,1,4.9,0.2040816326530611,6.698450610004213e-13,6.245917304234386e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,5.0,0.2,6.646429877660544e-13,6.242860874184133e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,5.1,0.196078431372549,6.584869050183658e-13,6.228824884988235e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,5.2,0.1923076923076923,6.516868301951461e-13,6.206428062697275e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,5.3,0.1886792452830188,6.444137786081651e-13,6.177085157005231e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,5.4,0.1851851851851851,6.368239781842918e-13,6.142156894330294e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,5.5,0.1818181818181818,6.290556778863143e-13,6.102906618119335e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,5.6,0.1785714285714285,6.212278027629705e-13,6.06047382449993e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,5.7,0.175438596491228,6.134402211231343e-13,6.015863904030561e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,5.8,0.1724137931034483,6.057738236157973e-13,5.969935495121649e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,5.9,0.1694915254237288,5.98293450493694e-13,5.923420106883141e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,6.0,0.1666666666666666,5.910488923840592e-13,5.87692168167313e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,6.1,0.1639344262295081,5.840770993371385e-13,5.830931016451677e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,6.2,0.1612903225806451,5.774041310948384e-13,5.785838925207469e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,6.3,0.1587301587301587,5.710469789829826e-13,5.741949506459494e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,6.4,0.15625,5.650152105240685e-13,5.69949283238356e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,6.5,0.1538461538461538,5.593124157542241e-13,5.658636651021202e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,6.6,0.1515151515151515,5.539374532305723e-13,5.619496893899418e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,6.7,0.1492537313432836,5.488855055933344e-13,5.582146919994299e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,6.8,0.1470588235294117,5.441489610720296e-13,5.54662551680711e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,6.9,0.144927536231884,5.39718140495712e-13,5.512943734797689e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,7.0,0.1428571428571428,5.35581890165579e-13,5.481090661185113e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,7.1,0.1408450704225352,5.317280601106805e-13,5.451038251478844e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,7.2,0.1388888888888889,5.281438858187695e-13,5.422745338584114e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,7.3,0.136986301369863,5.248162895249264e-13,5.396160934014296e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,7.4,0.1351351351351351,5.21732115183903e-13,5.371226926512828e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,7.5,0.1333333333333333,5.188783090945753e-13,5.34788027194411e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,7.6,0.131578947368421,5.162426677563498e-13,5.326061337490299e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,7.7,0.1298701298701298,5.138115203313168e-13,5.305689264153258e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,7.8,0.1282051282051282,5.115733891922498e-13,5.286701746819936e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,7.9,0.1265822784810126,5.095166743877424e-13,5.269030404815619e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,8.0,0.125,5.076302704378817e-13,5.252607768161154e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,8.1,0.1234567901234568,5.059035844797545e-13,5.23736779409874e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,8.2,0.1219512195121951,5.043265434865884e-13,5.223246252019901e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,8.3,0.1204819277108433,5.028895932675236e-13,5.210181002964395e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,8.4,0.119047619047619,5.015836911518043e-13,5.198112193694791e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,8.5,0.1176470588235294,5.004002940561992e-13,5.186982382734438e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,8.6,0.1162790697674418,4.993313431841423e-13,5.176736612313999e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,8.7,0.1149425287356321,4.983692463884676e-13,5.167322437552443e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,8.8,0.1136363636363636,4.975068589835047e-13,5.158689922215274e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,8.9,0.1123595505617977,4.967374636478034e-13,5.150791608742085e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
