K_E,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
0.642842,1.5000000000000002,0.6666666666666665,3.8747378581254057e-13,4.71554342611282e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,1.6,0.625,4.363060103116681e-13,5.076854502105312e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,1.7000000000000002,0.588235294117647,5.076855649203745e-13,5.637266830292803e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,1.8000000000000005,0.5555555555555555,5.554945821629822e-13,5.910127809749258e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,1.9,0.5263157894736842,5.630696568288823e-13,5.76896874907358e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,2.0,0.5,5.572168044824357e-13,5.521549357983227e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,2.1,0.4761904761904761,5.61953358683353e-13,5.407658933052897e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,2.2,0.4545454545454545,5.823056968028589e-13,5.46485433513673e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,2.3000000000000003,0.4347826086956521,6.125741174918467e-13,5.631250489712119e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,2.4000000000000004,0.4166666666666666,6.435762733288757e-13,5.819344176646929e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,2.5000000000000004,0.3999999999999999,6.673273724145062e-13,5.956412777928437e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,2.6,0.3846153846153846,6.795739768221483e-13,6.006379372804023e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,2.7,0.3703703703703703,6.809174883427323e-13,5.973774423208547e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,2.8000000000000003,0.3571428571428571,6.745804350966412e-13,5.885526292182769e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,2.9000000000000004,0.3448275862068965,6.644167778746899e-13,5.773402664143494e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,3.0000000000000004,0.3333333333333332,6.536009911688115e-13,5.663186663567739e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,3.1,0.3225806451612903,6.442355842485141e-13,5.571671123970717e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,3.2,0.3125,6.374668798330177e-13,5.507796270487437e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
